vm,commit,suite,benchmark,ms,warm
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,219.404000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,193.545000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,198.795000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,195.409000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,204.621000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,188.351000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,188.005000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,188.904000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,193.118000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,186.738000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,199.212000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,191.849000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,198.076000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,182.079000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout_naive,193.045000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1598.353000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1603.164000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1569.401000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1577.639000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1582.342000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1570.488000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1582.154000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1579.194000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1585.339000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1580.022000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1572.051000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1583.463000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1575.806000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1579.217000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,nbody_naive_2,1585.523000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,85.996000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,68.554000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,69.169000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,70.112000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,68.666000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,69.138000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,68.919000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,69.811000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,66.916000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,66.783000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,66.646000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,68.145000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,67.633000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,67.992000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_ascii,67.795000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,226.984000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,221.645000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,212.057000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,225.362000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,206.946000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,207.967000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,201.890000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,208.606000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,207.971000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,201.706000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,194.841000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,203.033000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,194.189000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,192.732000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,spectralnorm_alt,192.733000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout,92.172000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout,73.110000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout,72.851000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout,72.784000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout,73.964000,0
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout,72.825000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout,72.771000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout,72.727000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout,73.836000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout,81.028000,1
Ř,2872a799f6bcd14fe7a3270e86278d784d26020a,shootout,mandelbrot_noout,72.814000,1
