vm,commit,suite,benchmark,ms,warm
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1566.388000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1523.752000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,3139.848000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1480.521000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1475.595000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1548.943000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1525.227000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,3160.870000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1490.556000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1487.396000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1559.898000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1536.134000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,3136.746000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1488.770000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1483.911000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1551.649000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1523.191000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,3142.888000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1477.062000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1483.686000,0
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1498.078000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1481.178000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1479.400000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1478.014000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1489.264000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1473.339000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1478.467000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1477.488000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1498.650000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1478.176000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1476.016000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1474.626000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1494.468000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1478.259000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1475.011000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1473.282000,1
Ř,ac583eacf191f91d1a82c54b0f38f15d148cacf9,shootout,regexdna,1495.531000,1
