vm,commit,suite,benchmark,ms,warm
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,1564.841000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,1658.882000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,2262.697000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,48.262000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,38.234000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,1562.359000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,1680.777000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,2256.301000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,48.284000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,38.409000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,1569.819000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,1690.795000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,2298.238000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,48.411000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,38.289000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,1571.113000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,1672.681000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,2259.698000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,47.837000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,37.875000,0
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,37.117000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,37.100000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,35.799000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,37.083000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,37.109000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,37.106000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,35.854000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,37.140000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,49.006000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,37.197000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,35.823000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,37.062000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,37.103000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,37.035000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,35.834000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,37.065000,1
Ř,1a56370726981f5082b6445066d48e1c7d0db879,shootout,spectralnorm,37.107000,1
