type,package,filename,lazy-1,lazy-2,strict
test,Matching,Matchby,TRUE,TRUE,TRUE
test,MatrixModels,MModels,TRUE,TRUE,TRUE
test,MuMIn,gam,TRUE,TRUE,TRUE
test,MuMIn,gam-smooth-match,TRUE,TRUE,TRUE
test,MuMIn,glm,TRUE,TRUE,TRUE
test,MuMIn,glm.nb,TRUE,TRUE,TRUE
test,MuMIn,misc-tests,TRUE,TRUE,TRUE
test,MuMIn,multinom,TRUE,TRUE,TRUE
test,MuMIn,nlme,TRUE,TRUE,TRUE
test,MuMIn,parallel,TRUE,FALSE,FALSE
test,MuMIn,quasibinomial,TRUE,FALSE,FALSE
test,MuMIn,rlm,TRUE,TRUE,TRUE
test,MuMIn,singularities,TRUE,TRUE,TRUE
test,MuMIn,survival,TRUE,TRUE,TRUE
test,PerformanceAnalytics,tinytest,TRUE,FALSE,FALSE
test,Polychrome,test-07-member,TRUE,TRUE,TRUE
test,Polychrome,testDeficit,TRUE,TRUE,TRUE
test,Polychrome,testXform,TRUE,TRUE,TRUE
test,PowerTOST,test_2x2,TRUE,TRUE,TRUE
test,PowerTOST,test_2x2x3,TRUE,TRUE,TRUE
test,PowerTOST,test_2x4x2,TRUE,TRUE,TRUE
test,PowerTOST,test_2x4x4,TRUE,TRUE,TRUE
test,PowerTOST,test_ABEL,TRUE,TRUE,TRUE
test,PowerTOST,test_RSABE,TRUE,TRUE,TRUE
test,PowerTOST,test_RatioF,TRUE,TRUE,TRUE
test,PowerTOST,test_parallel,TRUE,TRUE,TRUE
test,R.cache,DEPRECATED,TRUE,TRUE,TRUE
test,R.cache,Object.getChecksum,TRUE,TRUE,TRUE
test,R.cache,StaticMethodsAndNamespaces,TRUE,TRUE,TRUE
test,R.cache,addMemoization,TRUE,FALSE,FALSE
test,R.cache,assertDigest,TRUE,TRUE,TRUE
test,R.cache,clearCache,TRUE,FALSE,FALSE
test,R.cache,evalWithMemoization,TRUE,TRUE,TRUE
test,R.cache,findOSCachePath,TRUE,TRUE,TRUE
test,R.cache,getCachePath,TRUE,TRUE,TRUE
test,R.cache,getCacheRootPath,TRUE,FALSE,FALSE
test,R.cache,loadCache,TRUE,TRUE,TRUE
test,R.cache,memoizedCall,TRUE,FALSE,FALSE
test,R.cache,readCacheHeader,TRUE,FALSE,FALSE
test,R.cache,setCachePath,TRUE,TRUE,TRUE
test,R.cache,setCacheRootPath,TRUE,TRUE,TRUE
test,R.cache,textPrompt,TRUE,TRUE,TRUE
test,R.devices,DevEvalFileProduct,TRUE,FALSE,FALSE
test,R.devices,DevEvalProduct,TRUE,TRUE,TRUE
test,R.devices,capabilitiesX11,TRUE,TRUE,TRUE
test,R.devices,capturePlot,TRUE,FALSE,FALSE
test,R.devices,dataURI,TRUE,TRUE,TRUE
test,R.devices,devAll,TRUE,TRUE,TRUE
test,R.devices,devDump,TRUE,TRUE,TRUE
test,R.devices,devEqualTypes,TRUE,TRUE,TRUE
test,R.devices,devEval,TRUE,FALSE,FALSE
test,R.devices,"devEval,error",TRUE,TRUE,TRUE
test,R.devices,devIsInteractive,TRUE,TRUE,TRUE
test,R.devices,devIsOpen,TRUE,TRUE,TRUE
test,R.devices,devList,TRUE,TRUE,TRUE
test,R.devices,devListIndexOf,TRUE,TRUE,TRUE
test,R.devices,devNew,TRUE,TRUE,TRUE
test,R.devices,devOptions,TRUE,TRUE,TRUE
test,R.devices,devSet,TRUE,TRUE,TRUE
test,R.devices,devTypeName,TRUE,TRUE,TRUE
test,R.devices,favicon,TRUE,TRUE,TRUE
test,R.devices,toNNN,TRUE,FALSE,FALSE
test,R.devices,withPar,TRUE,TRUE,TRUE
test,R.matlab,Matlab,TRUE,FALSE,FALSE
test,R.matlab,"Matlab,options",TRUE,TRUE,TRUE
test,R.matlab,readMat,TRUE,TRUE,TRUE
test,R.matlab,"readMat,noattach",TRUE,TRUE,TRUE
test,R.matlab,startup,TRUE,TRUE,FALSE
test,R.matlab,writeMat,TRUE,FALSE,FALSE
test,R2admb,allinputs,TRUE,TRUE,TRUE
test,R2admb,amak,TRUE,TRUE,TRUE
test,R2admb,do_admb,TRUE,TRUE,TRUE
test,R2admb,is_int,TRUE,TRUE,TRUE
test,R2admb,nonstdreport,TRUE,TRUE,TRUE
test,R2admb,racecond,TRUE,TRUE,TRUE
test,R2admb,skate,TRUE,TRUE,TRUE
test,R2admb,stderr_bug,TRUE,TRUE,TRUE
test,ROI.plugin.glpk,test_glpk,TRUE,TRUE,TRUE
test,RPostgreSQL,connectWithNull,TRUE,TRUE,TRUE
test,RPostgreSQL,createTableMixedCaseTest,TRUE,TRUE,TRUE
test,RPostgreSQL,dataTypeTests,TRUE,TRUE,TRUE
test,RPostgreSQL,dateTZ,TRUE,TRUE,TRUE
test,RPostgreSQL,datetimeTests,TRUE,TRUE,TRUE
test,RPostgreSQL,datetimestampwrite,TRUE,TRUE,TRUE
test,RPostgreSQL,dbColumnInfo,TRUE,TRUE,TRUE
test,RPostgreSQL,dbExistsIssue,TRUE,TRUE,TRUE
test,RPostgreSQL,dbExistsq,TRUE,TRUE,TRUE
test,RPostgreSQL,dbExistsqc,TRUE,TRUE,TRUE
test,RPostgreSQL,dbGetQueryParams,TRUE,TRUE,TRUE
test,RPostgreSQL,dbListFields,TRUE,TRUE,TRUE
test,RPostgreSQL,dbTransactionTests,TRUE,TRUE,TRUE
test,RPostgreSQL,dbWriteTableFailTest,TRUE,TRUE,TRUE
test,RPostgreSQL,dbWriteTableSchema,TRUE,TRUE,TRUE
test,RPostgreSQL,dbWriteTableTest,TRUE,TRUE,TRUE
test,RPostgreSQL,dbWriteTabletypes,TRUE,TRUE,TRUE
test,RPostgreSQL,dbtemptable,TRUE,TRUE,TRUE
test,RPostgreSQL,escape,TRUE,TRUE,TRUE
test,RPostgreSQL,loadDriverAndConnect,TRUE,TRUE,TRUE
test,RPostgreSQL,openSendQuery,TRUE,TRUE,TRUE
test,RPostgreSQL,selectWhereZero,TRUE,TRUE,TRUE
test,RPostgreSQL,selectWithAlias,TRUE,TRUE,TRUE
